player,position,espn_proj_pts
David Johnson,RB,294.6
Le'Veon Bell,RB,293.3
Ezekiel Elliott,RB,279.2
LeSean McCoy,RB,215.4
Melvin Gordon,RB,209.9
Devonta Freeman,RB,208.2
DeMarco Murray,RB,205.3
Jordan Howard,RB,203.7
Jay Ajayi,RB,203.2
Todd Gurley,RB,195.6
Marshawn Lynch,RB,189.7
Leonard Fournette,RB,188
Lamar Miller,RB,183
Isaiah Crowell,RB,177.1
Frank Gore,RB,162
Joe Mixon,RB,161.5
Christian McCaffrey,RB,160.9
Mark Ingram,RB,158.9
Spencer Ware,RB,152.8
Mike Gillislee,RB,150.2
Carlos Hyde,RB,149.7
Bilal Powell,RB,148.1
Paul Perkins,RB,147.5
Dalvin Cook,RB,146.6
Ty Montgomery,RB,143.4
Eddie Lacy,RB,142
Ameer Abdullah,RB,137.9
Tevin Coleman,RB,133.7
Adrian Peterson,RB,129.1
LeGarrette Blount,RB,128.9
Matt Forte,RB,126.9
C.J. Anderson,RB,125.8
Doug Martin,RB,116.2
Theo Riddick,RB,115
Danny Woodhead,RB,114.5
Robert Kelley,RB,114.3
Duke Johnson Jr.,RB,112.9
Jamaal Charles,RB,106.4
Darren Sproles,RB,105.7
Kareem Hunt,RB,104.5
Jonathan Stewart,RB,104.3
Giovani Bernard,RB,95.5
Charles Sims,RB,93.2
Derrick Henry,RB,91.2
C.J. Prosise,RB,90.9
Chris Thompson,RB,90.4
Terrance West,RB,88.6
Kenneth Dixon,RB,88
James White,RB,87.7
Shane Vereen,RB,85
Alvin Kamara,RB,81.4
Latavius Murray,RB,80.7
Rex Burkhead,RB,76.9
Samaje Perine,RB,72.9
Jonathan Williams,RB,70.3
Robert Turbin,RB,69.8
Jacquizz Rodgers,RB,67
Dion Lewis,RB,64.4
D'Onta Foreman,RB,64.3
Jalen Richard,RB,61.8
Joe Williams,RB,58.9
Lance Dunbar,RB,58.4
Benjamin Cunningham,RB,58.3
Jerick McKinnon,RB,57.9
Jamaal Williams,RB,57.1
Jeremy Hill,RB,57
Darren McFadden,RB,56.5
DeAndre Washington,RB,55.9
Thomas Rawls,RB,55.5
T.J. Yeldon,RB,53.8
Branden Oliver,RB,51.8
Andre Ellington,RB,50.5
Aaron Jones,RB,50.1
Devontae Booker,RB,46.6
Donnel Pumphrey,RB,46.4
Damien Williams,RB,43.4
Marlon Mack,RB,41.7
Chris Ivory,RB,41.6
Kenyan Drake,RB,41
Kyle Juszczyk,RB,38.8
Zach Zenner,RB,38.5
James Conner,RB,38.3
Wendell Smallwood,RB,35.5
Wayne Gallman,RB,34.3
Mike Tolbert,RB,32.8
Antonio Brown,WR,194.5
Julio Jones,WR,188.8
Jordy Nelson,WR,186.1
Odell Beckham Jr.,WR,179.2
A.J. Green,WR,177
T.Y. Hilton,WR,175.7
Mike Evans,WR,173.8
Michael Thomas,WR,164.8
Doug Baldwin,WR,152.7
Dez Bryant,WR,149.7
Martavis Bryant,WR,146.8
Terrelle Pryor Sr.,WR,146.6
Amari Cooper,WR,146.2
DeAndre Hopkins,WR,146
Brandin Cooks,WR,145.9
Golden Tate,WR,142.7
Michael Crabtree,WR,141.3
Demaryius Thomas,WR,139.4
Emmanuel Sanders,WR,139.2
Alshon Jeffery,WR,139
Sammy Watkins,WR,137.7
Allen Robinson,WR,135.7
Julian Edelman,WR,135.1
Larry Fitzgerald,WR,134.6
Davante Adams,WR,134.2
Jarvis Landry,WR,133.1
Brandon Marshall,WR,132.7
Tyreek Hill,WR,132.3
Kelvin Benjamin,WR,131.2
Jamison Crowder,WR,129.4
DeVante Parker,WR,128.6
Willie Snead,WR,124.9
Donte Moncrief,WR,124.8
Pierre Garcon,WR,122.9
DeSean Jackson,WR,122.6
Stefon Diggs,WR,121.4
Eric Decker,WR,119.2
Kenny Britt,WR,119
Keenan Allen,WR,118.8
Adam Thielen,WR,117.8
Marvin Jones,WR,116.2
Jeremy Maclin,WR,115.1
Quincy Enunwa,WR,114.4
Randall Cobb,WR,113.4
John Brown,WR,112.5
Mike Wallace,WR,109.6
Corey Coleman,WR,109.6
Ted Ginn Jr.,WR,109.5
Rishard Matthews,WR,105.7
Corey Davis,WR,104.7
Taylor Gabriel,WR,104.4
Will Fuller V,WR,103
Jordan Matthews,WR,102.5
Cameron Meredith,WR,101.3
Tavon Austin,WR,101.3
Kenny Stills,WR,100.8
Mohamed Sanu,WR,99.4
Robert Woods,WR,99.1
Tyler Lockett,WR,97.7
Kevin White,WR,97.7
Marqise Lee,WR,97.4
Sterling Shepard,WR,97.1
Tyrell Williams,WR,96.1
Allen Hurns,WR,93.2
Josh Doctson,WR,91.9
Curtis Samuel,WR,90.3
Robby Anderson,WR,88.4
J.J. Nelson,WR,88.3
Cole Beasley,WR,88.2
Devin Funchess,WR,87.9
Kenny Golladay,WR,86.7
Torrey Smith,WR,83.4
Terrance Williams,WR,82.5
Zay Jones,WR,81.7
Breshad Perriman,WR,81.2
Andre Holmes,WR,73.7
Cooper Kupp,WR,72.2
Jeremy Kerley,WR,71.4
Mike Williams,WR,70.3
John Ross,WR,70.3
Albert Wilson,WR,66.6
Carlos Henderson,WR,66.5
Laquon Treadwell,WR,66.2
Braxton Miller,WR,62.7
Seth Roberts,WR,61.4
Chris Hogan,WR,61.1
Tyler Boyd,WR,61.1
Marquise Goodwin,WR,58.9
Chris Conley,WR,57.5
Charone Peake,WR,56.1
Rob Gronkowski,TE,156.3
Greg Olsen,TE,145.2
Jordan Reed,TE,133.9
Travis Kelce,TE,132.2
Kyle Rudolph,TE,114
Jimmy Graham,TE,111.1
Delanie Walker,TE,110.2
Martellus Bennett,TE,101.4
Jack Doyle,TE,98.2
Zach Ertz,TE,97.6
Hunter Henry,TE,96.5
Jason Witten,TE,93.6
Eric Ebron,TE,93.5
Austin Hooper,TE,93.1
Tyler Eifert,TE,92.5
Coby Fleener,TE,92.1
C.J. Fiedorowicz,TE,85.8
Cameron Brate,TE,85.3
Antonio Gates,TE,77.8
Julius Thomas,TE,74.5
Evan Engram,TE,74.4
Charles Clay,TE,69.1
Jared Cook,TE,68.1
Zach Miller,TE,67.4
Jesse James,TE,67.2
O.J. Howard,TE,67.1
David Njoku,TE,59.9
Jermaine Gresham,TE,58.8
Austin Seferian-Jenkins,TE,53.4
Gerald Everett,TE,46.1
Benjamin Watson,TE,45.2
Erik Swoope,TE,44.9
Vernon Davis,TE,43.1
Vance McDonald,TE,38.4
A.J. Derby,TE,36.9
Tom Brady,QB,329.1
Aaron Rodgers,QB,326.2
Drew Brees,QB,311.7
Matt Ryan,QB,303.8
Andrew Luck,QB,299.3
Russell Wilson,QB,295.1
Cam Newton,QB,292.1
Matthew Stafford,QB,283.6
Tyrod Taylor,QB,283.4
Jameis Winston,QB,277.1
Dak Prescott,QB,273.2
Kirk Cousins,QB,269.7
Marcus Mariota,QB,266.7
Derek Carr,QB,265.1
Ben Roethlisberger,QB,259.5
Philip Rivers,QB,253.3
Andy Dalton,QB,253
Eli Manning,QB,251.1
Carson Wentz,QB,249.6
Ryan Tannehill,QB,247.7
Blake Bortles,QB,242.3
Carson Palmer,QB,241.7
Joe Flacco,QB,236.9
Sam Bradford,QB,217
Alex Smith,QB,212.1
Brian Hoyer,QB,198.3
Jared Goff,QB,176.2
Mike Glennon,QB,156.2
Paxton Lynch,QB,141.1
Deshaun Watson,QB,140.2
Cody Kessler,QB,130.4
Josh McCown,QB,104.1
Trevor Siemian,QB,92.4
Tom Savage,QB,90.1
Christian Hackenberg,QB,79.1
DeShone Kizer,QB,74
Mitchell Trubisky,QB,54.2
Drew Stanton,QB,16.3
Landry Jones,QB,16.3
Teddy Bridgewater,QB,15.8
Jaguars,D/ST,110.6
Seahawks,D/ST,109.5
Bengals,D/ST,106.4
Rams,D/ST,106
Steelers,D/ST,105.8
Cardinals,D/ST,104.7
Chargers,D/ST,103.3
Vikings,D/ST,103.2
Texans,D/ST,101.7
Broncos,D/ST,101.4
Ravens,D/ST,101
Chiefs,D/ST,96.2
Titans,D/ST,94.7
Falcons,D/ST,92.2
Dolphins,D/ST,91.1
