player,seanKoerner_proj_pts,position,numberFire_proj_pts,,,.,.
Odell Beckham Jr.,213.7,WR,225.2,,,Derek Carr,QB
Dontrelle Inman,32.2,WR,70.7,,,Jordan Cameron,TE
Danny Amendola,48.5,WR,70.6,,,Jordan Matthews,WR
Sammie Coates,50.3,WR,62.8,,,Austin Seferian-Jenkins,TE
Philly Brown,34.5,WR,61.3,,,Tyler Eifert,TE
Dwayne Harris,41.9,WR,49.4,,,Tyler Lockett,WR
Leonte Carroo,43.4,WR,44.3,,,James Starks,RB
Paul Richardson,21.9,WR,44,,,Rashad Jennings,RB
Brandon Coleman,42,WR,43.7,,,Ryan Tannehill,QB
Pharoh Cooper,38.2,WR,43.5,,,Jeremy Hill,RB
Albert Wilson,49.3,WR,41.1,,,Josh Hill,TE
J.J. Nelson,48.7,WR,40.9,,,Josh Doctson,WR
Andrew Hawkins,29.1,WR,40.4,,,Danny Woodhead,RB
Josh Huff,23.4,WR,39.8,,,C.J. Anderson,RB
Darrius Heyward-Bey,32.8,WR,37.1,,,KaDeem Carey,RB
Andre Holmes,22,WR,35.6,,,LeVeon Bell,RB
Justin Hardy,45.5,WR,31.2,,,Robert Griffin,QB
Bennie Fowler,36.4,WR,31.1,,,Khiry Robinson,RB
Jeremy Kerley,22.1,WR,29.6,,,DeAngelo Williams,RB
Ryan Grant,14.5,WR,29.3,,,Maxx Williams,TE
Rashad Greene,35.3,WR,27.2,,,Torrey Smith,WR
Brian Quick,25,WR,26.4,,,Steve Smith,WR
Devin Smith,29.3,WR,16.7,,,Odell Beckham,WR
Justin Hunter,20.5,WR,11.4,,,,
Ty Montgomery,16.6,WR,10.9,,,,
Malcolm Mitchell,23.1,WR,10.8,,,,
Quan Bray,27,WR,9.9,,,,
Jaron Brown,17.8,WR,9.4,,,,
Tyrell Williams,57.3,WR,9.1,,,,
Marquise Goodwin,25.6,WR,8.8,,,,
Adam Humphries,51.8,WR,8.5,,,,
Cody Latimer,31.5,WR,8.3,,,,
Aldrick Robinson,9.1,WR,8,,,,
Jared Abbrederis,32.2,WR,7.8,,,,
Terrelle Pryor,38.9,WR,7.6,,,,
Lucky Whitehead,28.4,WR,7.1,,,,
Adam Thielen,32.2,WR,5.9,,,,
Corey Fuller,17.7,WR,5.5,,,,
Jeff Janis,16.8,WR,5.3,,,,
Cordarrelle Patterson,15.3,WR,5.3,,,,
Rod Streater,33.7,WR,2.4,,,,
Ryan Griffin,38.6,TE,69.6,,,,
Darren Fells,33.9,TE,46,,,,
Anthony Fasano,21.9,TE,45.5,,,,
Lance Kendricks,51.8,TE,43.2,,,,
Garrett Celek,34.4,TE,43.1,,,,
Luke Willson,37.9,TE,39.2,,,,
Jermaine Gresham,23.7,TE,37.9,,,,
James O'Shaughnessy,13.5,TE,36.5,,,,
Brent Celek,34.8,TE,35.9,,,,
Tyler Kroft,28.8,TE,35.9,,,,
Hunter Henry,54.8,TE,35.3,,,,
Tyler Higbee,46.9,TE,33.9,,,,
Troy Niklas,17.1,TE,33.5,,,,
Richard Rodgers,58,TE,32.6,,,,
Jace Amaro,18.6,TE,31.4,,,,
Jeff Heuerman,36.6,TE,31.3,,,,
Austin Hooper,38.8,TE,30.7,,,,
Dion Sims,30.4,TE,29.1,,,,
Mychal Rivera,33.5,TE,25.3,,,,
Gavin Escobar,21.6,TE,24.5,,,,
Ed Dickson,21.3,TE,24.4,,,,
C.J. Fiedorowicz,20,TE,17.8,,,,
Jack Doyle,28.3,TE,16.9,,,,
Luke Stocker,9.5,TE,11.8,,,,
Rhett Ellison,16.2,TE,6.1,,,,
Blake Bell,34,TE,6,,,,
Vernon Davis,19.3,TE,5.1,,,,
MyCole Pruitt,19.9,TE,5,,,,
James Hanna,8.7,TE,2.4,,,,
Le'Veon Bell,177.2,RB,191,,,,
Darren McFadden,36.7,RB,43.5,,,,
Ka'Deem Carey,56.2,RB,19.9,,,,
Fozzy Whittaker,20.7,RB,18.9,,,,
Terron Ward,10.5,RB,18.3,,,,
Jordan Todman,22,RB,15,,,,
Patrick DiMarco,13.7,RB,11.5,,,,
Aaron Ripkowski,9.5,RB,9.1,,,,
Jalston Fowler,26.2,RB,8.2,,,,
Damien Williams,7.2,RB,5.9,,,,
Anthony Sherman,5,RB,5,,,,
Rex Burkhead,12.8,RB,4.3,,,,
Cedric Peerman,5.8,RB,0,,,,
Josh McCown,34.7,QB,15.6,,,,
Chad Henne,4.9,QB,15.4,,,,
Mike Glennon,5.9,QB,14.8,,,,
Brandon Weeden,10.7,QB,14.7,,,,
EJ Manuel,15.5,QB,12.1,,,,
Ryan Mallett,4.1,QB,11.3,,,,
Derek Anderson,8.6,QB,10.6,,,,
AJ McCarron,6.9,QB,9.4,,,,
Colt McCoy,8.3,QB,9.2,,,,
Landry Jones,11.2,QB,9,,,,
Drew Stanton,6.2,QB,8,,,,
Matt McGloin,4.7,QB,7.8,,,,
Scott Tolzien,6.6,QB,7.3,,,,
Matt Schaub,6.2,QB,6.7,,,,
Nick Foles,6.8,QB,5.3,,,,
Matt Moore,5.5,QB,5.2,,,,
Ryan Nassib,3.7,QB,4.9,,,,
Kellen Clemens,3.5,QB,4.9,,,,
Matt Cassel,8.6,QB,0,,,,
Mark Sanchez,7.4,QB,0,,,,
